Lab,n,ECE,MCE
Specific_gravity,12,0.5553,0.5727
Ferritin,53,0.1864,0.3373
Reticulo_abs,66,0.1284,0.8
Vitamin_B12,45,0.1213,0.238
TSH,150,0.1167,0.8287
LDL,56,0.1095,0.3325
Iron,35,0.1045,0.2
MCV,1320,0.0952,0.4792
Carboxyhemoglobin,475,0.0817,0.4167
RDW,1325,0.0688,0.1914
HDL,58,0.0542,0.4484
Amylase,435,0.0533,0.3571
pO2,930,0.0532,0.0944
Transferrin,34,0.0527,0.1667
Calcium_ionized,471,0.0493,0.5123
WBC,1306,0.0428,0.1173
Folate,45,0.0418,0.5556
Eos_abs,1312,0.0407,0.1426
Deoxyhemoglobin,471,0.04,0.0465
HGB,1316,0.0382,0.9938
Methemoglobin,475,0.0381,0.8
Triglycerides,62,0.0372,0.4444
NRBC_abs,1297,0.0366,0.5367
Cholesterol,160,0.0357,1.0
pH,1010,0.0353,0.1089
MPV,1323,0.0336,0.7707
HCT,1317,0.0329,0.34
Calcium,4919,0.0324,0.1597
pCO2,931,0.0318,0.3889
Oxyhemoglobin,469,0.0271,0.081
Mono_abs,1319,0.0264,0.35
CPK,2052,0.0258,0.1136
Baso_abs,1286,0.0255,0.1171
Troponin_I_HS,711,0.0232,0.1282
O2_saturation,475,0.0231,0.0231
Bilirubin_total,4914,0.0212,0.234
Bilirubin_direct,730,0.021,0.2499
Albumin,4915,0.0209,0.3061
PLT,1326,0.0209,0.1667
RBC,1317,0.0176,0.3587
Urea,4963,0.0161,0.1131
Neutro_abs,1327,0.016,0.2882
Glucose,4989,0.0157,0.5
Sodium,4972,0.0154,0.3163
Potassium,4947,0.015,0.3125
AST,4974,0.0146,0.2505
Osmolality,4779,0.014,0.25
Lympho_abs,1323,0.0128,0.1025
Creatinine,4989,0.0126,0.25
Protein_total,4936,0.0125,0.0581
Magnesium,4921,0.0124,0.1746
Globulin,4923,0.0118,0.6265
Chloride,4977,0.01,0.6667
Alkaline_Phosphatase,4972,0.0098,0.5436
ALT,4922,0.0098,0.4592
GGT,2606,0.0091,0.1272
Phosphorus,4939,0.0088,0.1154
Uric_acid,4852,0.0086,0.1876
CRP,4898,0.0082,0.01
LDH,4910,0.0076,0.0197
Lactate,470,0.0037,0.0037
Bilirubin_neonatal,447,0.0028,0.0028
