Lab,ALT,AST,Albumin,Alkaline_Phosphatase,Amylase,Baso_abs,Bilirubin_direct,Bilirubin_neonatal,Bilirubin_total,CPK,CRP,Calcium,Calcium_ionized,Carboxyhemoglobin,Chloride,Cholesterol,Creatinine,Deoxyhemoglobin,Eos_abs,Ferritin,Folate,GGT,Globulin,Glucose,HCT,HDL,HGB,Iron,LDH,LDL,Lactate,Lympho_abs,MCV,MPV,Magnesium,Methemoglobin,Mono_abs,NRBC_abs,Neutro_abs,O2_saturation,Osmolality,Oxyhemoglobin,PLT,PT,PTT,Phosphorus,Potassium,Protein_total,RBC,RDW,Reticulo_abs,Sodium,Specific_gravity,TSH,Transferrin,Triglycerides,Troponin_I_HS,Urea,Uric_acid,Vitamin_B12,WBC,pCO2,pH,pO2
ALT,1.0,0.8384891537478245,-0.028227303051722944,0.13106040802743266,0.1501304625740401,,0.10027336523004286,,0.1570277169450027,0.04360157172112384,0.020472131163751094,-0.03542433890215454,,,-0.02499575376950102,0.05297887235081573,-0.004592423586101648,,,-0.06515912082275035,-0.08636463147287914,0.13719303600204985,-0.007889529921024386,-0.004275127612633502,,-0.06734949629998396,,-0.026990177909080156,0.4250554756053542,0.055918126064483924,,,,,0.03927672623630173,,,,,,0.002021440321112585,,,,,0.060972594937493345,0.0021681752205274523,-0.025894467464456648,,,,-0.004972880887187819,,-0.018967767653105143,0.28599038602032223,-0.03839839945422096,0.05760946703109677,0.009829897062679895,0.016454589996880646,0.19526822532038618,,,,
AST,0.8384891537478245,1.0,-0.058367168232339006,0.13189479895181266,0.15212412405783907,,0.08445782628345523,,0.1428023159795761,0.11274299361622186,0.05081675547003879,-0.0525422394181249,,,-0.029560329870860134,-0.026036763617773302,0.009401653508362013,,,0.09792353359643663,-0.1439348898735156,0.11197793943119072,-0.00022253912643086136,-0.0034139675180525583,,-0.08152400676593029,,0.212081782225338,0.6085421516615973,-0.03236649107554353,,,,,0.045552188610729655,,,,,,0.017631391134861275,,,,,0.10344898800425802,0.01096717102196562,-0.04134031279696968,,,,0.0005586631189609579,,-0.020623322143592415,-0.219739634235689,0.0011132258470661703,0.1029511831754994,0.029475203592408825,0.05553070425436936,0.4447587928518046,,,,
Albumin,-0.028227303051722944,-0.058367168232339006,1.0,-0.2316427828527694,-0.0020703002188434162,,-0.19432513926154532,,-0.13484088361343244,0.04001807764561683,-0.41556457616370795,0.6423608608396868,,,-0.059824820549280476,0.034739138025930615,-0.1022562991668588,,,-0.39641163921839895,0.1516408870381864,-0.19735142181814166,-0.049241588130902014,-0.04926105708744056,,-0.019076605552995052,,0.05496864993716338,-0.1345819991996652,-0.2291394982678236,,,,,0.08042121929308653,,,,,,-0.15872945737640898,,,,,0.00988911792745459,0.13004137534104857,0.6798059512574774,,,,0.0006679911140938836,,-0.060871884152458824,0.6444595400244655,-0.05546882300531057,-0.07315635551076358,-0.2517955784533784,0.02616434603689962,-0.38998682362227843,,,,
Alkaline_Phosphatase,0.13106040802743266,0.13189479895181266,-0.2316427828527694,1.0,-0.011535887592227638,,0.263929021516023,,0.3472540362740627,-0.011216867236024986,0.08438423621521512,-0.11328218612258964,,,-0.06738190517201703,0.41963296846530224,0.04352165225368921,,,0.3131047611081972,-0.1526184911563289,0.6211073888460789,0.050352632438107905,-0.010180609369384929,,-0.07529641993625913,,0.19570772429990202,0.19796340497882645,0.6355099040389685,,,,,-0.008826343471383847,,,,,,-0.011330649610947995,,,,,0.02893933211041151,-0.010483946822650152,-0.13079955175230942,,,,-0.09371833227905395,,0.011252519517648989,-0.4811384717012817,0.021016022264349222,-0.009906134327806444,0.092724313538578,0.03496172966424417,0.5428408955111131,,,,
Amylase,0.1501304625740401,0.15212412405783907,-0.0020703002188434162,-0.011535887592227638,1.0,,-0.035261472905032024,,0.03175906405004566,-0.023232491172938186,-0.04935854068735432,-0.05650439108664815,,,-0.08017954533672611,-0.016622588516155026,0.20165174951745887,,,-0.16419117032087285,,0.18698903130929634,-0.08229020301849202,-0.0625134696494445,,,,,0.092581073291227,,,,,,0.09296060317789193,,,,,,0.061466511587546756,,,,,0.1850734252218693,0.13375139877995953,-0.05676442732462224,,,,-0.07998801714288331,,0.006995498451217237,,,0.17642399215722454,0.2205821961610963,0.09896511851612098,,,,,
Baso_abs,,,,,,1.0,,,,,,,,,,,,,0.29343003657658595,,,,,,0.1030957886224719,,0.07791328262983338,,,,,0.10027695065463178,-0.07304094147920566,-0.005533237107907578,,,0.1896741765911858,0.07525947291363523,0.2483187023951165,,,,0.2572394405351044,,,,,,0.11457088382123971,0.09348824612347341,0.1239253214670167,,,,,,,,,,0.2878049624203703,,,
Bilirubin_direct,0.10027336523004286,0.08445782628345523,-0.19432513926154532,0.263929021516023,-0.035261472905032024,,1.0,,0.9829855736110573,-0.0256180901797044,-0.03354101600908235,-0.10310080765239846,,,-0.030316489908204926,0.2730649510539331,0.21103147999035188,,,0.18474582046161636,-0.12964330568696644,0.3729707458364618,-0.10626449895005849,0.060640537402424546,,,,0.2695896674236884,0.05268306602574916,,,,,,0.07965050180032507,,,,,,0.07381940199192746,,,,,0.1510701878389402,0.1200552583316233,-0.2122994026761073,,,,-0.15571231394075502,,-0.2382298500469665,-0.4164647899346629,0.36644840083243196,0.013554922597588672,0.24395377989175138,0.005647115087290339,0.40628635684784753,,,,
Bilirubin_neonatal,,,,,,,,1.0,,,,,-0.07036864536963645,0.01744881706488235,,,,-0.003231625786613857,,,,,,,,,,,,,0.028966915786601134,,,,,-0.04027298053840908,,,,0.002051299768476252,,0.002854820541760376,,,,,,,,,,,,,,,,,,,,-0.06592408268983915,0.04782820605236706,-0.011661855360020713
Bilirubin_total,0.1570277169450027,0.1428023159795761,-0.13484088361343244,0.3472540362740627,0.03175906405004566,,0.9829855736110573,,1.0,0.016892121623881966,0.0036594921616029618,-0.08724618954324664,,,-0.017181232644888574,0.12105848115761089,0.09548484311108435,,,0.29374194240450574,-0.12934847149925466,0.4140891116729657,-0.08490580544840441,0.02252261195670548,,-0.17607550442552014,,0.40913887013496486,0.12757267502471126,0.15477247026802143,,,,,0.06619370395495713,,,,,,0.05324457543513005,,,,,0.07792634355795384,0.009124904298415093,-0.1585756620718304,,,,-0.06560402825116067,,-0.04194604777594108,-0.4382766030735801,0.11487252677189132,0.008777284474995367,0.15226589919695935,0.024240977424893433,0.54556975235319,,,,
CPK,0.04360157172112384,0.11274299361622186,0.04001807764561683,-0.011216867236024986,-0.023232491172938186,,-0.0256180901797044,,0.016892121623881966,1.0,0.025853889055665154,-0.00575718086130955,,,0.027234562409507994,-0.06692034058392952,0.01372417823866766,,,0.5347818296023145,-0.1237167069622785,-0.034143259905946154,-0.025168546443054267,-0.012084053038423125,,-0.054403858027882265,,-0.1651089366624317,0.1620239224885844,-0.08680990639308231,,,,,0.003968499539327365,,,,,,-0.0031231589197885383,,,,,0.012577904816353609,0.000606778716526232,0.010536528585269373,,,,0.009088993637170712,,-0.011782526702460076,0.01042117094236028,-0.032075070777332605,0.10272176528116693,-0.01299694930320499,-0.008152463804207208,-0.2679228079259812,,,,
