feature_code,token_type,source_table,cutoff_rule,transformation,missing_value_policy,value_column,time_column,observed_rows
age,administrative,labs_with_Measurements.csv,known at target order,administrative/static context,no token when unavailable,f__age,t__age,651696
days_in_admission,administrative,labs_with_Measurements.csv,known at target order,administrative/static context,no token when unavailable,f__days_in_admission,t__days_in_admission,651696
ordering_department__873000,administrative,labs_with_Measurements.csv,known at target order,ordering department one-hot,no token when unavailable,f__ordering_department__873000,t__ordering_department__873000,289909
ordering_department__874000,administrative,labs_with_Measurements.csv,known at target order,ordering department one-hot,no token when unavailable,f__ordering_department__874000,t__ordering_department__874000,361787
prior_admissions,administrative,labs_with_Measurements.csv,known at target order,administrative/static context,no token when unavailable,f__prior_admissions,t__prior_admissions,651696
prior_lab_orders,administrative,labs_with_Measurements.csv,known at target order,administrative/static context,no token when unavailable,f__prior_lab_orders,t__prior_lab_orders,651696
sex_numeric,administrative,labs_with_Measurements.csv,known at target order,administrative/static context,no token when unavailable,f__sex_numeric,t__sex_numeric,651696
ALT__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__ALT__delta,t__ALT__delta,14356
ALT__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__ALT__first_admission,t__ALT__first_admission,24670
ALT__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__ALT__max_24h,t__ALT__max_24h,17387
ALT__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__ALT__max_72h,t__ALT__max_72h,22726
ALT__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__ALT__mean_24h,t__ALT__mean_24h,17387
ALT__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__ALT__mean_72h,t__ALT__mean_72h,22726
