Lab,Threshold,Total,Saved,FN,Saved%,FN_per_total%,FN_among_cancelled%,MAE,SMAPE_med%,ROC_AUC
ALT,0.85,4922,4290,558,87.2,11.34,13.01,14.7062,38.4,0.677
AST,0.85,4974,0,0,0.0,0.0,0.0,27.456,52.8,0.5618
Albumin,0.85,4915,2434,259,49.5,5.27,10.64,0.2254,5.8,0.6883
Alkaline_Phosphatase,0.85,4972,5,2,0.1,0.04,40.0,17.1196,9.7,0.5982
Amylase,0.85,435,12,3,2.8,0.69,25.0,37.1651,21.5,0.6386
Baso_abs,0.85,1286,1003,100,78.0,7.78,9.97,0.0223,38.4,0.7037
Bilirubin_direct,0.85,730,0,0,0.0,0.0,0.0,0.3507,50.0,0.6845
Bilirubin_neonatal,0.85,447,447,0,100.0,0.0,0.0,0.0749,1.6,
Bilirubin_total,0.85,4914,2921,337,59.4,6.86,11.54,0.2035,17.4,0.6778
CPK,0.85,2052,723,130,35.2,6.34,17.98,152.0842,83.8,0.7318
CRP,0.85,4898,0,0,0.0,0.0,0.0,30.0521,45.2,0.6506
Calcium,0.85,4919,3066,469,62.3,9.53,15.3,0.3544,3.3,0.6426
Calcium_ionized,0.85,471,15,4,3.2,0.85,26.67,0.041,2.6,0.6033
Carboxyhemoglobin,0.85,475,0,0,0.0,0.0,0.0,0.3624,42.1,0.5647
Chloride,0.85,4977,2365,245,47.5,4.92,10.36,2.381,1.8,0.694
Cholesterol,0.85,160,40,4,25.0,2.5,10.0,16.2448,8.6,0.6519
Creatinine,0.85,4989,0,0,0.0,0.0,0.0,0.2457,12.3,0.6163
Deoxyhemoglobin,0.85,471,0,0,0.0,0.0,0.0,15.3256,49.4,0.5655
Eos_abs,0.85,1312,827,79,63.0,6.02,9.55,0.0852,46.1,0.6961
Ferritin,0.85,53,0,0,0.0,0.0,0.0,488.4044,80.5,0.6845
Folate,0.85,45,0,0,0.0,0.0,0.0,3.6548,23.4,0.6358
GGT,0.85,2606,0,0,0.0,0.0,0.0,35.1017,31.5,0.6238
Globulin,0.85,4923,0,0,0.0,0.0,0.0,0.2366,6.7,0.6389
Glucose,0.85,4989,4,2,0.1,0.04,50.0,28.0476,15.8,0.6574
HCT,0.85,1317,58,14,4.4,1.06,24.14,2.3413,5.7,0.5942
HDL,0.85,58,7,1,12.1,1.72,14.29,5.773,9.9,0.5435
HGB,0.85,1316,2,1,0.2,0.08,50.0,0.7985,6.1,0.5977
Iron,0.85,35,5,1,14.3,2.86,20.0,57.8866,43.7,0.5634
LDH,0.85,4910,0,0,0.0,0.0,0.0,86.9951,18.0,0.6528
LDL,0.85,56,5,1,8.9,1.79,20.0,14.3893,15.7,0.5034
Lactate,0.85,470,0,0,0.0,0.0,0.0,5.4895,22.9,0.5465
Lympho_abs,0.85,1323,1109,96,83.8,7.26,8.66,0.7496,22.9,0.7484
MCV,0.85,1320,1300,151,98.5,11.44,11.62,1.4595,1.2,0.8206
MPV,0.85,1323,1279,100,96.7,7.56,7.82,0.4159,3.6,0.7193
Magnesium,0.85,4921,63,13,1.3,0.26,20.63,0.1421,5.4,0.6479
Methemoglobin,0.85,475,379,38,79.8,8.0,10.03,0.1381,25.2,0.7038
Mono_abs,0.85,1319,207,30,15.7,2.27,14.49,0.2296,22.1,0.6714
NRBC_abs,0.85,1297,1139,138,87.8,10.64,12.12,0.0168,200.0,0.6261
Neutro_abs,0.85,1327,4,1,0.3,0.08,25.0,2.0209,21.9,0.6237
O2_saturation,0.85,475,0,0,0.0,0.0,0.0,14.6474,14.4,0.5954
Osmolality,0.85,4779,3,0,0.1,0.0,0.0,5.2273,1.3,0.5802
Oxyhemoglobin,0.85,469,0,0,0.0,0.0,0.0,14.6808,15.2,0.5799
PLT,0.85,1326,630,66,47.5,4.98,10.48,36.1472,12.4,0.6763
Phosphorus,0.85,4939,2421,261,49.0,5.28,10.78,0.5676,12.4,0.6676
Potassium,0.85,4947,1100,166,22.2,3.36,15.09,0.3331,6.4,0.6938
Protein_total,0.85,4936,1,0,0.0,0.0,0.0,0.3718,5.0,0.6756
RBC,0.85,1317,0,0,0.0,0.0,0.0,0.3903,9.6,0.5716
RDW,0.85,1325,989,112,74.6,8.45,11.32,0.6057,2.2,0.6942
Reticulo_abs,0.85,66,6,1,9.1,1.52,16.67,20.8291,27.7,0.5764
Sodium,0.85,4972,16,7,0.3,0.14,43.75,2.2189,1.2,0.6142
Specific_gravity,0.85,12,0,0,0.0,0.0,0.0,0.003,0.2,
TSH,0.85,150,6,1,4.0,0.67,16.67,2.0563,38.4,0.6946
Transferrin,0.85,34,9,1,26.5,2.94,11.11,26.8856,12.1,0.6875
Triglycerides,0.85,62,1,0,1.6,0.0,0.0,69.833,27.4,0.6149
Troponin_I_HS,0.85,711,0,0,0.0,0.0,0.0,666.9367,140.0,0.5757
Urea,0.85,4963,0,0,0.0,0.0,0.0,12.2743,14.6,0.5857
Uric_acid,0.85,4852,34,9,0.7,0.19,26.47,0.7094,9.6,0.5946
Vitamin_B12,0.85,45,10,2,22.2,4.44,20.0,221.7149,20.6,0.4206
WBC,0.85,1306,3,0,0.2,0.0,0.0,2.5081,18.3,0.676
pCO2,0.85,931,0,0,0.0,0.0,0.0,6.4552,10.9,0.5158
pH,0.85,1010,0,0,0.0,0.0,0.0,0.0985,0.8,0.5589
pO2,0.85,930,0,0,0.0,0.0,0.0,15.1564,25.4,0.6097
