Lab,Threshold,Total,Repeats,Repeat%,Saved,Saved%,FN,FNR%,FN_per_total%,FN_among_cancelled%,ECE,MCE,ROC_AUC,BSS_%,Base_Stability_%,Instability_%,Brier_Baseline,Brier_Model,MAE,mean_val,RMSE,SMAPE_med%,SMAPE_mean%,NRMSE%
ALT,0.85,4922,4922,100.0,3786,76.92,614,60.85,12.47,16.22,0.0401,0.4059,0.6178,11.8,79.5,20.5,0.163,0.1437,15.8408,37.35006,88.2812,35.6,41.2,236.4
AST,0.85,4974,4974,100.0,0,0.0,0,0.0,0.0,0.0,0.0158,0.3,0.5463,5.1,71.8,28.2,0.2026,0.1922,24.9359,48.50342,221.9212,30.2,34.8,457.5
Albumin,0.85,4915,4915,100.0,2478,50.42,259,26.76,5.27,10.45,0.0226,0.0972,0.6959,8.8,80.3,19.7,0.1582,0.1442,0.2246,3.14747,0.2934,5.8,7.2,9.3
Alkaline_Phosphatase,0.85,4972,4972,100.0,62,1.25,9,0.63,0.18,14.52,0.0238,0.127,0.6479,9.7,71.3,28.7,0.2047,0.1849,17.0353,124.81134,37.1138,9.9,12.9,29.7
Amylase,0.85,435,435,100.0,0,0.0,0,0.0,0.0,0.0,0.0324,0.2238,0.6707,12.6,61.1,38.9,0.2376,0.2077,36.9079,89.86667,141.76,22.2,30.4,157.7
Baso_abs,0.85,1286,1286,100.0,1075,83.59,99,53.8,7.7,9.21,0.0345,0.2104,0.6945,16.3,85.7,14.3,0.1226,0.1027,0.0218,0.04834,0.0406,39.3,52.6,84.0
Bilirubin_direct,0.85,730,730,100.0,0,0.0,0,0.0,0.0,0.0,0.0172,0.2356,0.5718,5.3,54.9,45.1,0.2476,0.2345,0.318,0.93108,1.1843,31.1,39.3,127.2
Bilirubin_neonatal,0.85,447,447,100.0,447,100.0,0,0.0,0.0,0.0,0.0028,0.0028,,,100.0,0.0,0.0,0.0,0.0638,2.05727,0.2843,0.9,2.3,13.8
Bilirubin_total,0.85,4914,4914,100.0,3700,75.3,494,53.12,10.05,13.35,0.0139,0.1091,0.6607,14.8,81.1,18.9,0.1534,0.1308,0.203,0.83253,0.4506,20.0,25.1,54.1
CPK,0.85,2052,2052,100.0,3,0.15,1,0.16,0.05,33.33,0.0115,0.5,0.5777,7.6,69.7,30.3,0.2112,0.1951,144.3394,270.173,739.8732,53.1,60.6,273.9
CRP,0.85,4898,4898,100.0,0,0.0,0,0.0,0.0,0.0,0.0143,0.0151,0.669,5.7,18.2,81.8,0.1491,0.1407,28.8424,83.61079,44.852,43.3,57.5,53.6
