Lab,Threshold,Total,Repeats,Repeat%,Saved,Saved%,FN,FNR%,FN_per_total%,FN_among_cancelled%,ECE,MCE,ROC_AUC,BSS_%,Base_Stability_%,Instability_%,Brier_Baseline,Brier_Model,MAE,mean_val,RMSE,SMAPE_med%,SMAPE_mean%,NRMSE%
ALT,0.85,4922,4922,100.0,4290,87.16,558,59.81,11.34,13.01,0.0098,0.4592,0.677,21.3,81.0,19.0,0.1536,0.1209,14.7062,37.35006,88.9686,38.4,51.9,238.2
AST,0.85,4974,4974,100.0,0,0.0,0,0.0,0.0,0.0,0.0146,0.2505,0.5618,5.5,71.8,28.2,0.2026,0.1914,27.456,48.50342,214.8522,52.8,65.4,443.0
Albumin,0.85,4915,4915,100.0,2434,49.52,259,27.18,5.27,10.64,0.0209,0.3061,0.6883,7.5,80.6,19.4,0.1563,0.1446,0.2254,3.14747,0.2967,5.8,7.3,9.4
Alkaline_Phosphatase,0.85,4972,4972,100.0,5,0.1,2,0.14,0.04,40.0,0.0098,0.5436,0.5982,7.1,71.3,28.7,0.2046,0.1901,17.1196,124.81134,38.5151,9.7,12.7,30.9
Amylase,0.85,435,435,100.0,12,2.76,3,1.75,0.69,25.0,0.0533,0.3571,0.6386,8.6,60.7,39.3,0.2386,0.218,37.1651,89.86667,129.4366,21.5,29.9,144.0
Baso_abs,0.85,1286,1286,100.0,1003,77.99,100,51.55,7.78,9.97,0.0255,0.1171,0.7037,10.3,84.9,15.1,0.1281,0.115,0.0223,0.04834,0.041,38.4,52.3,84.8
Bilirubin_direct,0.85,730,730,100.0,0,0.0,0,0.0,0.0,0.0,0.021,0.2499,0.6845,12.6,54.9,45.1,0.2476,0.2165,0.3507,0.93108,1.0956,50.0,65.2,117.7
Bilirubin_neonatal,0.85,447,447,100.0,447,100.0,0,0.0,0.0,0.0,0.0028,0.0028,,,100.0,0.0,0.0,0.0,0.0749,2.05727,0.2795,1.6,2.9,13.6
Bilirubin_total,0.85,4914,4914,100.0,2921,59.44,337,39.32,6.86,11.54,0.0212,0.234,0.6778,13.1,82.6,17.4,0.144,0.1251,0.2035,0.83253,0.4972,17.4,23.3,59.7
CPK,0.85,2052,2052,100.0,723,35.23,130,20.47,6.34,17.98,0.0258,0.1136,0.7318,22.3,69.1,30.9,0.2137,0.1661,152.0842,270.173,812.0203,83.8,99.0,300.6
CRP,0.85,4898,4898,100.0,0,0.0,0,0.0,0.0,0.0,0.0082,0.01,0.6506,4.7,18.2,81.8,0.1491,0.1421,30.0521,83.61079,45.9609,45.2,59.8,55.0
Calcium,0.85,4919,4919,100.0,3066,62.33,469,45.53,9.53,15.3,0.0324,0.1597,0.6426,5.7,79.1,20.9,0.1655,0.1561,0.3544,8.66818,0.4654,3.3,4.1,5.4
Calcium_ionized,0.85,471,471,100.0,15,3.18,4,2.61,0.85,26.67,0.0493,0.5123,0.6033,5.5,67.5,32.5,0.2193,0.2071,0.041,1.14732,0.0611,2.6,3.7,5.3
