Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
ALT,--,0.5,4548,639,92.4,68.49,0.0098,0.4592,0.677,21.3,0.1209,19.0
ALT,--,0.625,4529,625,92.02,66.99,0.0098,0.4592,0.677,21.3,0.1209,19.0
ALT,--,0.75,4323,565,87.83,60.56,0.0098,0.4592,0.677,21.3,0.1209,19.0
ALT,--,0.85,4290,558,87.16,59.81,0.0098,0.4592,0.677,21.3,0.1209,19.0
ALT,--,0.875,4202,545,85.37,58.41,0.0098,0.4592,0.677,21.3,0.1209,19.0
ALT,--,0.99,1,1,0.02,0.11,0.0098,0.4592,0.677,21.3,0.1209,19.0
AST,--,0.5,4764,1246,95.78,88.75,0.0146,0.2505,0.5618,5.5,0.1914,28.2
AST,--,0.625,4686,1215,94.21,86.54,0.0146,0.2505,0.5618,5.5,0.1914,28.2
AST,--,0.75,0,0,0.0,0.0,0.0146,0.2505,0.5618,5.5,0.1914,28.2
AST,--,0.85,0,0,0.0,0.0,0.0146,0.2505,0.5618,5.5,0.1914,28.2
AST,--,0.875,0,0,0.0,0.0,0.0146,0.2505,0.5618,5.5,0.1914,28.2
AST,--,0.99,0,0,0.0,0.0,0.0146,0.2505,0.5618,5.5,0.1914,28.2
Albumin,--,0.5,4896,944,99.61,99.06,0.0209,0.3061,0.6883,7.5,0.1446,19.4
Albumin,--,0.625,4405,724,89.62,75.97,0.0209,0.3061,0.6883,7.5,0.1446,19.4
Albumin,--,0.75,4096,626,83.34,65.69,0.0209,0.3061,0.6883,7.5,0.1446,19.4
Albumin,--,0.85,2434,259,49.52,27.18,0.0209,0.3061,0.6883,7.5,0.1446,19.4
Albumin,--,0.875,1982,196,40.33,20.57,0.0209,0.3061,0.6883,7.5,0.1446,19.4
Albumin,--,0.99,0,0,0.0,0.0,0.0209,0.3061,0.6883,7.5,0.1446,19.4
Alkaline_Phosphatase,--,0.5,4751,1248,95.56,87.46,0.0098,0.5436,0.5982,7.1,0.1901,28.7
Alkaline_Phosphatase,--,0.625,4520,1157,90.91,81.08,0.0098,0.5436,0.5982,7.1,0.1901,28.7
Alkaline_Phosphatase,--,0.75,6,2,0.12,0.14,0.0098,0.5436,0.5982,7.1,0.1901,28.7
Alkaline_Phosphatase,--,0.85,5,2,0.1,0.14,0.0098,0.5436,0.5982,7.1,0.1901,28.7
Alkaline_Phosphatase,--,0.875,5,2,0.1,0.14,0.0098,0.5436,0.5982,7.1,0.1901,28.7
Alkaline_Phosphatase,--,0.99,5,2,0.1,0.14,0.0098,0.5436,0.5982,7.1,0.1901,28.7
Amylase,--,0.5,385,132,88.51,77.19,0.0533,0.3571,0.6386,8.6,0.218,39.3
Amylase,--,0.625,214,64,49.2,37.43,0.0533,0.3571,0.6386,8.6,0.218,39.3
Amylase,--,0.75,72,21,16.55,12.28,0.0533,0.3571,0.6386,8.6,0.218,39.3
Amylase,--,0.85,12,3,2.76,1.75,0.0533,0.3571,0.6386,8.6,0.218,39.3
Amylase,--,0.875,12,3,2.76,1.75,0.0533,0.3571,0.6386,8.6,0.218,39.3
Amylase,--,0.99,0,0,0.0,0.0,0.0533,0.3571,0.6386,8.6,0.218,39.3
Baso_abs,--,0.5,1235,164,96.03,84.54,0.0255,0.1171,0.7037,10.3,0.115,15.1
Baso_abs,--,0.625,1235,164,96.03,84.54,0.0255,0.1171,0.7037,10.3,0.115,15.1
Baso_abs,--,0.75,1168,141,90.82,72.68,0.0255,0.1171,0.7037,10.3,0.115,15.1
Baso_abs,--,0.85,1003,100,77.99,51.55,0.0255,0.1171,0.7037,10.3,0.115,15.1
Baso_abs,--,0.875,1003,100,77.99,51.55,0.0255,0.1171,0.7037,10.3,0.115,15.1
Baso_abs,--,0.99,17,1,1.32,0.52,0.0255,0.1171,0.7037,10.3,0.115,15.1
Bilirubin_direct,--,0.5,499,170,68.36,51.67,0.021,0.2499,0.6845,12.6,0.2165,45.1
Bilirubin_direct,--,0.625,396,123,54.25,37.39,0.021,0.2499,0.6845,12.6,0.2165,45.1
Bilirubin_direct,--,0.75,3,2,0.41,0.61,0.021,0.2499,0.6845,12.6,0.2165,45.1
Bilirubin_direct,--,0.85,0,0,0.0,0.0,0.021,0.2499,0.6845,12.6,0.2165,45.1
