Lab,Threshold,Total,Saved,FN,Saved%,FN_per_total%,FN_among_cancelled%,MAE,SMAPE_med%,ROC_AUC
ALT,0.8,4922,4269,715,86.7,14.53,16.75,15.9405,35.7,0.6302
AST,0.8,4974,2,1,0.0,0.02,50.0,24.9356,30.2,0.5463
Albumin,0.8,4915,2907,372,59.1,7.57,12.8,0.2277,5.9,0.6971
Alkaline_Phosphatase,0.8,4972,589,125,11.8,2.51,21.22,17.1406,10.0,0.6537
Amylase,0.8,435,0,0,0.0,0.0,0.0,36.9079,22.2,0.6707
Baso_abs,0.8,1286,1075,99,83.6,7.7,9.21,0.0218,39.3,0.6945
Bilirubin_direct,0.8,730,0,0,0.0,0.0,0.0,0.318,31.1,0.5718
Bilirubin_neonatal,0.8,447,447,0,100.0,0.0,0.0,0.0638,0.9,
Bilirubin_total,0.8,4914,4154,569,84.5,11.58,13.7,0.2045,20.2,0.6691
CPK,0.8,2052,3,1,0.1,0.05,33.33,144.3394,53.1,0.5777
CRP,0.8,4898,0,0,0.0,0.0,0.0,28.8424,43.3,0.669
Calcium,0.8,4919,3718,613,75.6,12.46,16.49,0.3505,3.3,0.6638
Calcium_ionized,0.8,471,29,4,6.2,0.85,13.79,0.0406,2.5,0.6829
Carboxyhemoglobin,0.8,475,0,0,0.0,0.0,0.0,0.3515,40.1,0.5303
Chloride,0.8,4977,3586,547,72.1,10.99,15.25,2.4615,1.8,0.6799
Cholesterol,0.8,160,105,12,65.6,7.5,11.43,14.1279,8.3,0.7518
Creatinine,0.8,4989,26,6,0.5,0.12,23.08,0.2358,10.7,0.7198
Deoxyhemoglobin,0.8,471,0,0,0.0,0.0,0.0,14.5339,47.0,0.5696
Eos_abs,0.8,1312,1163,165,88.6,12.58,14.19,0.0986,54.0,0.665
Ferritin,0.8,53,0,0,0.0,0.0,0.0,557.8199,95.2,0.619
Folate,0.8,45,42,7,93.3,15.56,16.67,3.957,31.8,0.6204
GGT,0.8,2606,1,1,0.0,0.04,100.0,31.3233,20.1,0.6186
Globulin,0.8,4923,76,21,1.5,0.43,27.63,0.233,6.7,0.6383
Glucose,0.8,4989,1,1,0.0,0.02,100.0,27.8755,16.3,0.6309
HCT,0.8,1317,296,64,22.5,4.86,21.62,2.3459,5.8,0.6126
HDL,0.8,58,47,6,81.0,10.34,12.77,4.7038,8.2,0.7418
HGB,0.8,1316,566,105,43.0,7.98,18.55,0.7668,5.8,0.6448
Iron,0.8,35,7,1,20.0,2.86,14.29,56.4805,47.0,0.6522
LDH,0.8,4910,0,0,0.0,0.0,0.0,87.9051,20.0,0.587
LDL,0.8,56,6,1,10.7,1.79,16.67,12.3109,11.6,0.7117
Lactate,0.8,470,0,0,0.0,0.0,0.0,5.1167,23.3,0.5837
Lympho_abs,0.8,1323,1095,89,82.8,6.73,8.13,0.7647,24.3,0.7254
MCV,0.8,1320,1308,152,99.1,11.52,11.62,1.4371,1.1,0.8544
MPV,0.8,1323,1302,145,98.4,10.96,11.14,0.4271,3.7,0.7565
Magnesium,0.8,4921,2199,408,44.7,8.29,18.55,0.1428,5.4,0.6503
Methemoglobin,0.8,475,425,44,89.5,9.26,10.35,0.1477,20.7,0.6548
Mono_abs,0.8,1319,946,173,71.7,13.12,18.29,0.2439,22.5,0.6952
NRBC_abs,0.8,1297,1110,127,85.6,9.79,11.44,0.0166,93.2,0.7191
Neutro_abs,0.8,1327,257,53,19.4,3.99,20.62,1.9722,21.8,0.6689
O2_saturation,0.8,475,0,0,0.0,0.0,0.0,14.6991,15.4,0.576
Osmolality,0.8,4779,2,0,0.0,0.0,0.0,5.1512,1.3,0.5796
Oxyhemoglobin,0.8,469,0,0,0.0,0.0,0.0,14.6178,15.0,0.6076
PLT,0.8,1326,1006,133,75.9,10.03,13.22,36.917,13.4,0.7202
Phosphorus,0.8,4939,3534,419,71.6,8.48,11.86,0.572,12.3,0.6837
Potassium,0.8,4947,2563,415,51.8,8.39,16.19,0.3313,6.3,0.6952
Protein_total,0.8,4936,24,4,0.5,0.08,16.67,0.3686,4.9,0.6828
RBC,0.8,1317,0,0,0.0,0.0,0.0,0.3889,8.8,0.5574
RDW,0.8,1325,1240,234,93.6,17.66,18.87,0.6137,2.1,0.7788
Reticulo_abs,0.8,66,29,5,43.9,7.58,17.24,20.8665,28.5,0.6175
Sodium,0.8,4972,0,0,0.0,0.0,0.0,2.175,1.2,0.6316
Specific_gravity,0.8,12,0,0,0.0,0.0,0.0,0.0029,0.2,
TSH,0.8,150,0,0,0.0,0.0,0.0,2.0832,35.1,0.6186
Transferrin,0.8,34,13,2,38.2,5.88,15.38,20.8557,8.9,0.6792
Triglycerides,0.8,62,3,1,4.8,1.61,33.33,80.7457,33.5,0.5348
Troponin_I_HS,0.8,711,0,0,0.0,0.0,0.0,743.0713,158.4,0.6154
Urea,0.8,4963,0,0,0.0,0.0,0.0,11.8642,14.5,0.5749
Uric_acid,0.8,4852,2976,462,61.3,9.52,15.52,0.7175,9.4,0.706
Vitamin_B12,0.8,45,11,2,24.4,4.44,18.18,208.5595,20.6,0.4341
