feature_code,token_occurrences
sex_numeric,585
dx__log1p_prior_count,585
prior_admissions,585
prior_lab_orders,585
days_in_admission,585
age,585
charlson__group_count,585
vital__storation__latest,541
med__administrations_72h,539
med__administrations_24h,539
med__unique_72h,539
med__high_risk_72h,539
med__iv_solution_72h,539
med__unique_24h,539
med__iv_solution_24h,539
med__high_risk_24h,539
vital__sbp__latest,511
vital__dbp__latest,511
vital__pulse__latest,511
dx_chapter__symptoms_signs_and_abnormal_clinical_and_laboratory_findings_not_elsewhere_classified,480
med__atc1__blood_and_blood_forming_organs__72h,461
med__atc1__blood_and_blood_forming_organs__24h,444
vital__pulse__max_24h,419
vital__pulse__min_24h,419
vital__pulse__mean_24h,419
vital__storation__max_24h,406
vital__storation__min_24h,406
vital__storation__mean_24h,406
med__atc1__nervous_system__72h,401
med__atc1__nervous_system__24h,395
vital__dbp__mean_24h,390
vital__dbp__max_24h,390
vital__dbp__min_24h,390
vital__sbp__max_24h,390
vital__sbp__min_24h,390
vital__sbp__mean_24h,390
med__atc1__alimentary_tract_and_metabolism__72h,387
Lympho_abs__latest,383
Urea__latest,382
Potassium__latest,379
Mono_abs__latest,378
ordering_department__874000,367
LDH__latest,366
NRBC_abs__latest,363
dx_chapter__diseases_of_the_circulatory_system,359
med__atc1__alimentary_tract_and_metabolism__24h,359
Neutro_abs__latest,357
Baso_abs__latest,343
Sodium__latest,340
Glucose__latest,339
MPV__latest,335
med__atc1__antiinfectives_for_systemic_use__72h,322
Eos_abs__latest,319
Phosphorus__latest,316
Magnesium__latest,315
dx_chapter__not_specified,311
Chloride__latest,308
med__atc1__antiinfectives_for_systemic_use__24h,304
med__atc1__cardiovascular_system__24h,286
med__atc1__cardiovascular_system__72h,286
Osmolality__latest,282
Creatinine__latest,278
Uric_acid__latest,277
dx_chapter__injury_poisoning_and_certain_other_consequences_of_external_causes,269
CRP__latest,262
Alkaline_Phosphatase__latest,261
dx_chapter__endocrine_nutritional_and_metabolic_diseases,260
dx_chapter__diseases_of_the_skin_and_subcutaneous_tissue,258
Bilirubin_total__latest,257
dx_chapter__diseases_of_the_digestive_system,255
dx_chapter__diseases_of_the_genitourinary_system,255
Albumin__latest,255
consult__urgent_72h,250
consult__count_72h,250
Protein_total__latest,242
dx_chapter__diseases_of_the_nervous_system,237
Calcium__latest,232
ordering_department__873000,218
PLT__latest,217
GGT__latest,206
AST__latest,198
med__atc1__unspecified__72h,197
dx_chapter__diseases_of_the_respiratory_system,197
HCT__latest,194
Globulin__latest,191
imaging__count_72h,186
dx_chapter__neoplasms,181
dx_chapter__diseases_of_the_musculoskeletal_system_and_connective_tissue,174
ALT__latest,171
med__atc1__unspecified__24h,160
charlson__malignancy,158
Lactate__latest,156
dx_chapter__mental_and_behavioural_disorders,154
Methemoglobin__latest,152
consult__count_24h,151
consult__urgent_24h,151
med__atc1__various__72h,151
dx_chapter__factors_influencing_health_status_and_contact_with_health_services,150
med__atc1__respiratory_system__72h,148
imaging__count_24h,147
charlson__diabetes,145
med__atc1__systemic_hormonal_preparations_excluding_sex_hormones_and_insulins__72h,144
dx_chapter__certain_infectious_and_parasitic_diseases,139
Oxyhemoglobin__latest,135
med__atc1__genito_urinary_system_and_sex_hormones__24h,131
med__atc1__genito_urinary_system_and_sex_hormones__72h,131
pCO2__latest,129
med__atc1__various__24h,123
med__atc1__antineoplastic_and_immunomodulating_agents__72h,123
charlson__chronic_pulmonary,123
RDW__latest,119
charlson__dementia,118
WBC__latest,116
med__atc1__systemic_hormonal_preparations_excluding_sex_hormones_and_insulins__24h,116
CPK__latest,115
MCV__latest,114
dx_chapter__diseases_of_the_eye_and_adnexa,112
HGB__latest,108
PT__latest,107
O2_saturation__latest,106
RBC__latest,105
med__atc1__respiratory_system__24h,105
pH__latest,100
pO2__latest,97
PTT__latest,93
dx_chapter__external_causes_of_morbidity_and_mortality,92
med__atc1__antineoplastic_and_immunomodulating_agents__24h,89
dx_chapter__neoplasms_symptoms_signs_and_abnormal_clinical_and_laboratory_findings_not_elsewhere_classified,85
Calcium_ionized__latest,80
Deoxyhemoglobin__latest,79
charlson__cerebrovascular,76
charlson__heart_failure,68
Reticulo_abs__latest,68
med__atc1__dermatologicals__72h,66
Creatinine__max_72h,63
Creatinine__prev1,63
Creatinine__min_72h,63
Creatinine__mean_72h,63
Creatinine__prior_count,63
Creatinine__first_admission,63
Creatinine__delta,59
Creatinine__std_72h,59
Creatinine__slope_per_day,59
HbA1c_pct__latest,57
Creatinine__prev2,52
imaging___2_72h,50
Creatinine__max_24h,49
Creatinine__min_24h,49
Creatinine__mean_24h,49
