token_group,base_val_mse,ablated_val_mse,mse_increase
unrelated_lab,4175.955078125,4176.06787109375,0.11279296875
vital,4175.955078125,4176.0068359375,0.0517578125
panel_sibling,4175.955078125,4175.95849609375,0.00341796875
administrative,4175.955078125,4175.9580078125,0.0029296875
imaging,4175.955078125,4175.95654296875,0.00146484375
consultation,4175.955078125,4175.95556640625,0.00048828125
ecg,4175.955078125,4175.955078125,0.0
echo,4175.955078125,4175.955078125,0.0
dialysis,4175.955078125,4175.955078125,0.0
medication,4175.955078125,4175.95263671875,-0.00244140625
background_disease,4175.955078125,4175.94189453125,-0.01318359375
lab_history,4175.955078125,4172.29150390625,-3.66357421875
