feature_code,token_type,source_table,cutoff_rule,transform,missing_policy
age,administrative,labs_with_Measurements.csv,known at target order,numeric,omit token
days_in_admission,administrative,labs_with_Measurements.csv,known at target order,numeric,omit token
ordering_department__873000,administrative,labs_with_Measurements.csv,known at target order,numeric,omit token
ordering_department__874000,administrative,labs_with_Measurements.csv,known at target order,numeric,omit token
prior_admissions,administrative,labs_with_Measurements.csv,known at target order,numeric,omit token
prior_lab_orders,administrative,labs_with_Measurements.csv,known at target order,numeric,omit token
sex_numeric,administrative,labs_with_Measurements.csv,known at target order,numeric,omit token
charlson__cerebrovascular,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__chronic_pulmonary,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__dementia,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__diabetes,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__group_count,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__heart_failure,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__hemiplegia,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__liver_disease,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__malignancy,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__metastatic_tumor,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__myocardial_infarction,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__peptic_ulcer,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__peripheral_vascular,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__renal_disease,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
charlson__rheumatic,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
dx__log1p_prior_count,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
dx_chapter__certain_infectious_and_parasitic_diseases,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
dx_chapter__certain_infectious_and_parasitic_diseases_diseases_of_the_genitourinary_system,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
dx_chapter__congenital_malformations_deformations_and_chromosomal_abnormalities,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
dx_chapter__diseases_of_the_circulatory_system,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
dx_chapter__diseases_of_the_circulatory_system_diseases_of_the_nervous_system,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
dx_chapter__diseases_of_the_circulatory_system_external_causes_of_morbidity_and_mortality,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
dx_chapter__diseases_of_the_digestive_system,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
dx_chapter__diseases_of_the_eye_and_adnexa,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
dx_chapter__diseases_of_the_genitourinary_system,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
dx_chapter__diseases_of_the_musculoskeletal_system_and_connective_tissue,background_disease,background_diagnosis.csv,event_at < target orderdate,numeric,omit token
