,WBC,Neutro_abs,Lympho_abs,Mono_abs,Eos_abs,Baso_abs,NRBC_abs,HGB,HCT,RBC,MCV,RDW,Reticulo_abs,PLT,MPV,Sodium,Potassium,Chloride,Calcium,Magnesium,Phosphorus,Osmolality,Creatinine,Urea,Uric_acid,Albumin,Protein_total,Globulin,AST,ALT,GGT,Alkaline_Phosphatase,Bilirubin_total,Bilirubin_direct,Bilirubin_neonatal,Amylase,LDH,Glucose,CRP,Lactate,PT,PTT,Cholesterol,LDL,HDL,Triglycerides,Iron,Transferrin,Ferritin,Vitamin_B12,Folate,HbA1c_pct,TSH,Troponin_I_HS,CPK,pH,pCO2,pO2,Calcium_ionized,O2_saturation,Oxyhemoglobin,Deoxyhemoglobin,Carboxyhemoglobin,Methemoglobin,Specific_gravity,Urobilinogen
WBC,1.0,0.8816516702164336,0.297524517042483,0.5615891363436152,0.16620024562609584,0.3529594843360364,0.12725443605014108,0.07287019827620674,0.10384243289640815,0.11370099770966971,-0.031147235658686143,0.011998592980160188,0.20839056185364493,0.36878889465902065,0.02400541016593936,-1.0,1.0,1.0,-1.0,1.0000000000000004,1.0,1.0,,1.0,1.0,-1.0,-1.0,-0.9999999999999998,-1.0,-1.0,-1.0,1.0,-1.0000000000000002,,,1.0,-1.0,-1.0000000000000002,-1.0,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,
Neutro_abs,0.8816516702164336,1.0,0.01799689724394454,0.46943905096609695,0.05733398486559838,0.36993651927819476,0.13430020854426108,-0.0016786881202844877,0.026276281613079912,0.027879442965711446,0.004243096811155697,0.06147231330276419,0.18150491862533707,0.28001801176509944,0.05304557421554963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lympho_abs,0.297524517042483,0.01799689724394454,1.0,0.25323170351798074,0.14061931850104506,0.2520594606327455,0.10319633345768182,0.13191549283806053,0.14303757385764207,0.15061695636426164,-0.04054931615708094,-0.07855945097627917,0.10229510668029884,0.137107068938108,-0.03014101103726617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono_abs,0.5615891363436152,0.46943905096609695,0.25323170351798074,1.0,0.12378030281418068,0.345263668072551,0.06380382442022842,0.09146441352057841,0.10717247831231433,0.11147745797695181,-0.012186944367695383,-0.04565099086355817,0.08325515359950077,0.2611830862055861,-0.026725209943527808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eos_abs,0.16620024562609584,0.05733398486559838,0.14061931850104506,0.12378030281418068,1.0,0.2680241275348086,0.01345843279831341,0.01677734656442331,0.016973748555667682,0.015458206815940977,-0.002125402764687353,-0.04139146305434918,0.07784805496804457,0.09679261186798188,-0.023590193279627015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baso_abs,0.3529594843360364,0.36993651927819476,0.2520594606327455,0.345263668072551,0.2680241275348086,1.0,0.125162475104888,0.002971856043313086,0.01851721843726442,0.0294054557844308,-0.029680412994318856,0.05381102270691884,0.10953341254072498,0.20763661429175143,0.026709622769408563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRBC_abs,0.12725443605014108,0.13430020854426108,0.10319633345768182,0.06380382442022842,0.01345843279831341,0.125162475104888,1.0,-0.05676364970356428,-0.045522733286652815,-0.06881104634402162,0.1064238786935544,0.17499858675857646,0.30050598191167643,-0.02052756045721821,0.06443449523254123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGB,0.07287019827620674,-0.0016786881202844877,0.13191549283806053,0.09146441352057841,0.01677734656442331,0.002971856043313086,-0.05676364970356428,1.0,0.9877779170725721,0.9050412707804223,0.012677603595690012,-0.42774408569598876,-0.08738284000239177,0.05366432117766645,0.08884885159207721,1.0,-1.0,-1.0,1.0,-1.0000000000000007,-1.0,-1.0,,-1.0,-1.0,1.0,1.0000000000000002,0.9999999999999998,1.0,1.0000000000000002,1.0,-1.0,1.0,,,-1.0,1.0,1.0,0.9999999999999998,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
HCT,0.10384243289640815,0.026276281613079912,0.14303757385764207,0.10717247831231433,0.016973748555667682,0.01851721843726442,-0.045522733286652815,0.9877779170725721,1.0,0.9312796093588457,-0.021992551627256374,-0.36403559146784614,-0.059045505716905256,0.07529766833210381,0.10086860705566104,1.0,-0.9999999999999999,-1.0,1.0,-1.0000000000000004,-0.9999999999999998,-0.9999999999999998,,-1.0,-1.0,1.0,1.0,0.9999999999999997,0.9999999999999998,0.9999999999999999,1.0,-1.0,1.0000000000000002,,,-1.0,0.9999999999999999,1.0,0.9999999999999999,,,,,,,,,,,,,,,,0.9999999999999999,,,,,,,,,,,
RBC,0.11370099770966971,0.027879442965711446,0.15061695636426164,0.11147745797695181,0.015458206815940977,0.0294054557844308,-0.06881104634402162,0.9050412707804223,0.9312796093588457,1.0,-0.3692345815800453,-0.3037596716856809,-0.04563895070014428,0.14960510860785836,0.04831851036940279,1.0,-0.9999999999999999,-1.0,1.0,-1.0000000000000004,-0.9999999999999998,-1.0000000000000002,,-0.9999999999999999,-1.0,0.9999999999999999,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,-1.0,1.0,,,-1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
MCV,-0.031147235658686143,0.004243096811155697,-0.04054931615708094,-0.012186944367695383,-0.002125402764687353,-0.029680412994318856,0.1064238786935544,0.012677603595690012,-0.021992551627256374,-0.3692345815800453,1.0,-0.047259604791422875,0.05938354559251574,-0.1983753940574964,0.13498116741108662,1.0,-1.0,-1.0,1.0,-1.0000000000000007,-1.0,-1.0,,-1.0,-1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,-1.0,1.0000000000000002,,,-1.0000000000000002,1.0,1.0,0.9999999999999999,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
RDW,0.011998592980160188,0.06147231330276419,-0.07855945097627917,-0.04565099086355817,-0.04139146305434918,0.05381102270691884,0.17499858675857646,-0.42774408569598876,-0.36403559146784614,-0.3037596716856809,-0.047259604791422875,1.0,0.30827320107296263,-0.038516164926105406,0.01698593481619783,-0.9999999999999998,0.9999999999999999,0.9999999999999997,-0.9999999999999998,1.0000000000000002,0.9999999999999997,0.9999999999999998,,0.9999999999999998,0.9999999999999996,-0.9999999999999997,-0.9999999999999999,-0.9999999999999994,-0.9999999999999998,-0.9999999999999997,-0.9999999999999997,0.9999999999999998,-0.9999999999999999,,,0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999994,,,,,,,,,,,,,,,,-0.9999999999999997,,,,,,,,,,,
Reticulo_abs,0.20839056185364493,0.18150491862533707,0.10229510668029884,0.08325515359950077,0.07784805496804457,0.10953341254072498,0.30050598191167643,-0.08738284000239177,-0.059045505716905256,-0.04563895070014428,0.05938354559251574,0.30827320107296263,1.0,0.17570994717647387,-0.021220728218138304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLT,0.36878889465902065,0.28001801176509944,0.137107068938108,0.2611830862055861,0.09679261186798188,0.20763661429175143,-0.02052756045721821,0.05366432117766645,0.07529766833210381,0.14960510860785836,-0.1983753940574964,-0.038516164926105406,0.17570994717647387,1.0,-0.3873060523692509,1.0,-1.0,-1.0,1.0,-1.0000000000000007,-0.9999999999999999,-1.0,,-1.0,-1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,-1.0,1.0000000000000002,,,-1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
MPV,0.02400541016593936,0.05304557421554963,-0.03014101103726617,-0.026725209943527808,-0.023590193279627015,0.026709622769408563,0.06443449523254123,0.08884885159207721,0.10086860705566104,0.04831851036940279,0.13498116741108662,0.01698593481619783,-0.021220728218138304,-0.3873060523692509,1.0,-1.0,1.0,1.0,-1.0,1.0000000000000007,0.9999999999999999,1.0,,1.0,1.0,-1.0,-1.0,-0.9999999999999997,-1.0,-1.0,-1.0,1.0,-1.0,,,1.0,-1.0,-1.0,-0.9999999999999999,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,
Sodium,-1.0,,,,,,,1.0,1.0,1.0,1.0,-0.9999999999999998,,1.0,-1.0,1.0,-0.1848979548490919,0.7050652302256629,0.0382684510021869,0.09959661899930441,-0.017407477558581647,0.7305476598364926,0.0012502739697592764,0.06397302392698412,0.0977764495140901,-0.024286405006907034,-0.07688139697450139,-0.08475468439292806,-0.03649013996288198,-0.025396360261259618,-0.04079255862918362,-0.08559437182658587,-0.06140204861946525,-0.09853838611343813,,0.02825903221471382,-0.041195727965628114,-0.10005852273938569,-0.06212177262337217,,,,0.03416893713160255,0.0210319429827773,0.022954369308929166,0.0031535457494951433,0.019087330959766727,0.04294670632697652,-0.06924872344304368,-0.018958278301146776,0.018196226206810415,,-0.04200527522264375,0.017048349376364465,0.0054698918391715414,,,,,,,,,,,
Potassium,1.0,,,,,,,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,0.9999999999999999,,-1.0,1.0,-0.1848979548490919,1.0,-0.040352690707460975,0.15322328765635956,0.22719511782331483,0.32070024880928777,0.02183172642364232,0.24042308602812748,0.22843535218964095,0.12575753073486715,0.13179483636351547,0.20375635927416505,0.15733980765722208,0.017044632576814527,0.0022244208399246563,-0.06011759505054438,0.013826899781211198,-0.037381342949882414,0.02244825033005479,,0.08256548274563766,0.08248349853825258,0.09506324862887787,-0.04950924768185986,,,,0.021603710004513832,0.021285110799166437,0.010533579867420206,0.014309072847476388,0.00454888233703961,0.0829165059471824,-0.06323803271902556,-0.038053773289606956,-0.010063192754047141,,0.032206615682758066,-0.004674764618089197,-0.013907130036414193,,,,,,,,,,,
Chloride,1.0,,,,,,,-1.0,-1.0,-1.0,-1.0,0.9999999999999997,,-1.0,1.0,0.7050652302256629,-0.040352690707460975,1.0,-0.08895658148222187,0.029256788640842135,-0.09252547272887773,0.4986649533093712,0.03778986930787205,0.040302596286272745,-0.004573480934461422,-0.09665377578607849,-0.1670757436711201,-0.13486042592172387,-0.04266639706377793,-0.02293361954699819,-0.04547586675052648,-0.07479123458624055,-0.059031075688424715,-0.06698784324944088,,0.0285738639057167,-0.0715310602525513,-0.12009042070231718,-0.06176957749188764,,,,-0.06372921663901403,-0.0623127001091651,-0.09882240717587373,-0.009215111757290123,0.054330678289928075,-0.03940679981833618,-0.06952403076004492,-0.07827700149469752,-0.03514832362580538,,-0.06305584087943387,0.014269123476882936,0.008295232536811326,,,,,,,,,,,
Calcium,-1.0,,,,,,,1.0,1.0,1.0,1.0,-0.9999999999999998,,1.0,-1.0,0.0382684510021869,0.15322328765635956,-0.08895658148222187,1.0,0.06959757171828708,-0.04106078149143265,-0.09949919884931888,-0.17994865761780893,-0.20466702113257246,0.01618585535859364,0.6566517617852765,0.5941224336513097,0.15627191827975495,-0.07552743032628277,-0.049011873803854744,-0.14071547169580606,-0.13926408065988882,-0.06351049209735042,-0.11887543600719622,,-0.0037441998461253626,-0.09746218971933654,-0.0006080840613303549,-0.28901958574680986,,,,0.3121539816334267,0.2407275535867894,0.3153136356509716,-0.007877022708813785,0.09851605888721432,0.4255994912519411,-0.21661363017175592,-0.06723728526939772,0.006659857840934481,,-0.03694819874956659,-0.13988430715337122,-0.061829239789358066,,,,,,,,,,,
Magnesium,1.0000000000000004,,,,,,,-1.0000000000000007,-1.0000000000000004,-1.0000000000000004,-1.0000000000000007,1.0000000000000002,,-1.0000000000000007,1.0000000000000007,0.09959661899930441,0.22719511782331483,0.029256788640842135,0.06959757171828708,1.0,0.2944746770772194,0.26165232705544994,0.26080616208357654,0.32501040360915523,0.2271334751590024,0.08758693841857801,0.09798661046907,0.04931132355087094,0.0698076934391954,0.06384101446974624,-0.004369361872054796,0.03363748842648929,0.07045315325743988,0.1160879599973253,,0.10250647159307104,0.0772941176672319,0.0005486582243107468,-0.004475844555194092,,,,0.05474179424719807,0.05644005401640589,0.036669726007713656,0.06943008553092143,-8.628314704727937e-05,0.0608141464610075,-0.03457219203898291,0.05839470390580864,0.045304270021118705,,0.07651332596878094,0.06828446022106437,0.02159134992829978,,,,,,,,,,,
Phosphorus,1.0,,,,,,,-1.0,-0.9999999999999998,-0.9999999999999998,-1.0,0.9999999999999997,,-0.9999999999999999,0.9999999999999999,-0.017407477558581647,0.32070024880928777,-0.09252547272887773,-0.04106078149143265,0.2944746770772194,1.0,0.30289222254071296,0.48498405005476725,0.47431017892780836,0.35962264326254845,0.026037466831952183,0.07324241761509911,0.07303220662385952,0.07161458422840494,0.04762426418342028,-0.0011359260941148004,0.022127954260261568,0.03558630802689819,0.09633192765328569,,0.1165643027499826,0.08691630301936121,0.011368433205456325,0.008570640622174568,,,,0.030583686766121075,0.00351049494189059,0.01951704415254023,0.08122242322492165,0.04171538869569769,0.037630718182549115,0.0943337645156566,0.048036698197183356,0.032359584482434825,,0.0512439583505568,0.12412939340151924,0.04754134776061801,,,,,,,,,,,
Osmolality,1.0,,,,,,,-1.0,-0.9999999999999998,-1.0000000000000002,-1.0,0.9999999999999998,,-1.0,1.0,0.7305476598364926,0.02183172642364232,0.4986649533093712,-0.09949919884931888,0.26165232705544994,0.30289222254071296,1.0,0.48450305584234943,0.6537453316119644,0.4362273029673029,-0.17484728396703023,-0.1406469661038759,-0.01670011054921696,-0.000196983188889781,0.00168533174170602,0.021688789282100277,0.011411939244984907,0.011381309310847711,0.040866811307492985,,0.0888940365888302,0.014083336929608439,0.23432215598179204,0.058249964684014145,,,,-0.0910654145100443,-0.12087837029940807,-0.10528087956925439,0.13191951918825015,0.03120909430462439,-0.13478309651943188,0.0837454203736541,0.07985424455721327,0.031062153775994607,,0.013373201683724183,0.11511295225967304,0.027261483340446167,,,,,,,,,,,
Creatinine,,,,,,,,,,,,,,,,0.0012502739697592764,0.24042308602812748,0.03778986930787205,-0.17994865761780893,0.26080616208357654,0.48498405005476725,0.48450305584234943,1.0,0.7936851366959535,0.5500903115982362,-0.1412953704682302,-0.08126946215553069,0.035487618774757555,0.048156481213367394,0.03030346770072221,-0.0024812646447100084,0.041520627206041445,0.055674503514576076,0.09447294620519353,,0.14708845539620233,0.05668977693873277,0.08910536883925542,0.14090967657804374,,,,-0.17382866705892644,-0.19624573498305847,-0.19414262450950331,0.13173657562562704,-0.01277996760603784,-0.21199095428253684,0.15974237743199915,0.09810157886865352,-0.042195839411295,,0.1128260392113536,0.13480992986529686,0.04649482751805387,,,,,,,,,,,
Urea,1.0,,,,,,,-1.0,-1.0,-0.9999999999999999,-1.0,0.9999999999999998,,-1.0,1.0,0.06397302392698412,0.22843535218964095,0.040302596286272745,-0.20466702113257246,0.32501040360915523,0.47431017892780836,0.6537453316119644,0.7936851366959535,1.0,0.6074960055143904,-0.2732571210553934,-0.16809979403264472,0.04608435232764309,0.06553271592529726,0.044579627301311646,0.07455973145824832,0.12231026007939597,0.10162079248296545,0.17394567330684568,,0.1516647994971817,0.10059527020496967,0.1494241910437793,0.172363364058487,,,,-0.1766000488341626,-0.21080089399375088,-0.19508625574830962,0.14896606570666154,-0.00697093571253226,-0.23014474582880728,0.1868311089071072,0.15004140369939725,-0.006493760161318749,,0.09299881983253384,0.14567512009510308,0.03931563599707943,,,,,,,,,,,
Uric_acid,1.0,,,,,,,-1.0,-1.0,-1.0,-1.0,0.9999999999999996,,-1.0,1.0,0.0977764495140901,0.12575753073486715,-0.004573480934461422,0.01618585535859364,0.2271334751590024,0.35962264326254845,0.4362273029673029,0.5500903115982362,0.6074960055143904,1.0,-0.03046264290436494,0.05124559286048574,0.10420172754442064,0.05424189862966411,0.01688256205990786,0.035871231179690044,0.025820748121941173,0.05235857271918853,0.028317443916019217,,0.08364250662169741,0.11747682649691969,0.05449549667741301,0.048041761552049644,,,,-0.05475940444552194,-0.09395331020957216,-0.1730839595404873,0.15880476021411583,-0.019345806808261923,-0.03857143570653316,0.03010063330069437,0.11359370606813203,-0.026407896877313354,,0.0516808599719179,0.06385528220390817,0.04106086226917979,,,,,,,,,,,
Albumin,-1.0,,,,,,,1.0,1.0,0.9999999999999999,1.0,-0.9999999999999997,,1.0,-1.0,-0.024286405006907034,0.13179483636351547,-0.09665377578607849,0.6566517617852765,0.08758693841857801,0.026037466831952183,-0.17484728396703023,-0.1412953704682302,-0.2732571210553934,-0.03046264290436494,1.0,0.71500024073617,-0.025525072900429484,-0.07192425627737407,-0.03787574572331346,-0.25628081703919126,-0.2766271682534402,-0.1107313839339944,-0.22484054323275685,,0.013033957432632226,-0.11496315294356022,-0.016583793038735098,-0.4511487696808968,,,,0.30802307386986894,0.23561992391638198,0.39898281966326254,-0.07109048348638067,0.18972272679096308,0.648517085900931,-0.353885396170681,-0.23766396426229855,0.01389467735812145,,-0.0671336938754627,-0.13162717177792976,0.005968084338907886,,,,,,,,,,,
Protein_total,-1.0,,,,,,,1.0000000000000002,1.0,1.0,1.0,-0.9999999999999999,,1.0,-1.0,-0.07688139697450139,0.20375635927416505,-0.1670757436711201,0.5941224336513097,0.09798661046907,0.07324241761509911,-0.1406469661038759,-0.08126946215553069,-0.16809979403264472,0.05124559286048574,0.71500024073617,1.0,0.671247703943886,-0.05726490634433378,-0.036992865106438164,-0.19301326126352353,-0.14966459704254825,-0.11935532638979078,-0.2171135563028761,,-0.018229933621286554,-0.09501434711025766,0.037958198091098135,-0.2597723249218682,,,,0.28729183272297076,0.23625162865156976,0.25050601945168427,-0.07145801709759607,0.07705330275656999,0.4515918383263731,-0.2633395254051969,-0.13086654531535005,0.05009805675161699,,-0.04304563121315613,-0.16984306027163812,-0.01782343972114992,,,,,,,,,,,
Globulin,-0.9999999999999998,,,,,,,0.9999999999999998,0.9999999999999997,0.9999999999999998,0.9999999999999998,-0.9999999999999994,,0.9999999999999999,-0.9999999999999997,-0.08475468439292806,0.15733980765722208,-0.13486042592172387,0.15627191827975495,0.04931132355087094,0.07303220662385952,-0.01670011054921696,0.035487618774757555,0.04608435232764309,0.10420172754442064,-0.025525072900429484,0.671247703943886,1.0,-0.009306711716486952,-0.014011367845549379,-0.006459381923466789,0.07890426982544027,-0.058718966510737054,-0.08072194496667276,,-0.039643146031521595,-0.019951534998288282,0.0653791260940333,0.10963641372758412,,,,0.08709327764453398,0.08214213039440678,-0.04977079385419285,-0.03710078691554945,-0.07240149741981738,0.006023864494506822,-0.0618011253597248,0.04659445431894048,0.05169040071265478,,0.006709198320655733,-0.10640975888874654,-0.031441535975060046,,,,,,,,,,,
AST,-1.0,,,,,,,1.0,0.9999999999999998,1.0000000000000002,1.0,-0.9999999999999998,,1.0,-1.0,-0.03649013996288198,0.017044632576814527,-0.04266639706377793,-0.07552743032628277,0.0698076934391954,0.07161458422840494,-0.000196983188889781,0.048156481213367394,0.06553271592529726,0.05424189862966411,-0.07192425627737407,-0.05726490634433378,-0.009306711716486952,1.0,0.8398919400475461,0.20790523229394473,0.19516408393819545,0.24822884523686953,0.2280158400167604,,0.07815078120694334,0.5666004331332932,-0.010579755070764267,0.06909202223093913,,,,-0.08087592856642901,-0.02328265623036183,-0.0786983475926109,0.04963683314109855,0.09812721741284823,-0.008259878794670291,0.22362366225765834,0.1610675173952067,0.039117928988560945,,0.016994074577241124,0.19152378765771993,0.15206568487102154,,,,,,,,,,,
ALT,-1.0,,,,,,,1.0000000000000002,0.9999999999999999,1.0,1.0,-0.9999999999999997,,1.0,-1.0,-0.025396360261259618,0.0022244208399246563,-0.02293361954699819,-0.049011873803854744,0.06384101446974624,0.04762426418342028,0.00168533174170602,0.03030346770072221,0.044579627301311646,0.01688256205990786,-0.03787574572331346,-0.036992865106438164,-0.014011367845549379,0.8398919400475461,1.0,0.20448698447288138,0.16661227544311152,0.20365034719663735,0.16866044764530136,,0.0570214061370645,0.39646810420433803,-0.0007676432170072792,0.03353128406771897,,,,-0.06520434203722604,-0.027875040675692252,-0.06609517328495297,0.03549564205344522,0.1480406895686285,0.01782298031684118,0.13779510719218885,0.14725577651494562,0.0411955694137699,,0.004113741047663292,0.1347154682240004,0.07172545192715517,,,,,,,,,,,
GGT,-1.0,,,,,,,1.0,1.0,1.0,1.0,-0.9999999999999997,,1.0,-1.0,-0.04079255862918362,-0.06011759505054438,-0.04547586675052648,-0.14071547169580606,-0.004369361872054796,-0.0011359260941148004,0.021688789282100277,-0.0024812646447100084,0.07455973145824832,0.035871231179690044,-0.25628081703919126,-0.19301326126352353,-0.006459381923466789,0.20790523229394473,0.20448698447288138,1.0,0.766361771301317,0.4121883823919428,0.4365049497634035,,0.016486050637051518,0.20511002180804586,-0.007817658433813145,0.10565524337288536,,,,0.15374626771674854,0.13971891990048968,-0.07372969211787479,0.20770916165615427,0.10708345735857383,-0.17513285380859026,0.31329399675553143,0.18972437835609093,-0.03566806464218124,,0.04291865590018182,0.01721011260257067,-0.02873866239815766,,,,,,,,,,,
