Lab,Sex,Total,Repeats,Repeat%,Saved,Saved%,FN,FNR%,ECE,MCE,ROC_AUC,BSS_%,Base_Stability_%,Instability_%,Brier_Baseline,Brier_Model,MAE,mean_val,RMSE,SMAPE_med%,SMAPE_mean%,NRMSE%
WBC,--,1576,1576,100.0,1315,83.4,647,41.05,0.0716,0.2589,0.6338,2.7,64.6,35.4,0.2287,0.2225,2.0198,8.5139,2.7299,20.1,27.7,32.1
Neutro_abs,--,1653,1653,100.0,1468,88.8,581,35.15,0.0396,0.1591,0.7726,21.6,68.4,31.6,0.2163,0.1697,1.9354,6.57149,3.2801,24.0,33.1,49.9
Lympho_abs,--,1644,1644,100.0,1603,97.5,252,15.33,0.0288,0.2402,0.7553,5.2,90.4,9.6,0.0869,0.0823,0.3529,1.33154,0.5493,25.0,32.3,41.3
Mono_abs,--,1629,1629,100.0,1543,94.7,510,31.31,0.0442,0.6071,0.6607,6.0,76.0,24.0,0.1824,0.1714,0.2175,0.67274,0.4654,22.8,34.9,69.2
Eos_abs,--,1610,1610,100.0,1598,99.3,357,22.17,0.0291,0.3458,0.7501,18.7,87.6,12.4,0.1083,0.0881,0.0779,0.16191,0.1498,54.5,74.9,92.5
Baso_abs,--,1578,1578,100.0,1567,99.3,217,13.75,0.0389,0.239,0.6217,4.7,89.4,10.6,0.0951,0.0906,0.0198,0.03988,0.0319,40.0,58.7,80.1
NRBC_abs,--,1564,1564,100.0,1521,97.3,202,12.92,0.0438,0.303,0.6786,6.8,85.7,14.3,0.1223,0.1139,0.0138,0.01456,0.0665,66.7,96.3,456.5
HGB,M,912,912,100.0,912,100.0,426,46.71,0.0194,0.1915,0.6052,3.2,74.9,25.1,0.188,0.182,0.7179,10.19407,0.9365,5.7,7.3,9.2
HGB,F,695,695,100.0,688,99.0,357,51.37,0.02,0.4205,0.6026,3.6,65.0,35.0,0.2274,0.2191,0.8453,10.1581,1.1178,6.8,8.5,11.0
HCT,M,921,921,100.0,921,100.0,424,46.04,0.0217,0.0839,0.5825,1.7,76.2,23.8,0.1812,0.1782,2.2597,30.20114,2.9517,5.9,7.8,9.8
HCT,F,697,697,100.0,694,99.6,379,54.38,0.0228,0.1829,0.6295,5.0,62.3,37.7,0.235,0.2233,2.5709,30.36367,3.4516,7.0,8.7,11.4
RBC,M,911,911,100.0,911,100.0,440,48.3,0.022,0.1294,0.5834,0.9,75.7,24.3,0.1837,0.182,0.2718,3.45144,0.3647,5.8,8.3,10.6
RBC,F,690,690,100.0,675,97.8,367,53.19,0.0643,0.2,0.6063,3.0,65.1,34.9,0.2273,0.2205,0.3208,3.4932,0.4249,7.3,9.6,12.2
MCV,--,1614,1614,100.0,1614,100.0,223,13.82,0.011,0.1091,0.6759,0.6,96.8,3.2,0.0306,0.0304,1.4263,87.75763,2.179,1.1,1.6,2.5
RDW,--,1639,1639,100.0,1639,100.0,488,29.77,0.0319,0.1848,0.7386,4.8,89.9,10.1,0.091,0.0867,0.6388,16.96924,1.1348,2.3,3.6,6.7
Reticulo_abs,--,68,68,100.0,67,98.5,22,32.35,0.0748,0.75,0.5572,-5.9,73.5,26.5,0.1946,0.2062,34.9241,64.6475,55.5253,53.5,62.2,85.9
PLT,--,1648,1648,100.0,1645,99.8,579,35.13,0.033,1.0,0.7162,1.8,87.0,13.0,0.1134,0.1114,40.7846,224.86468,61.4183,13.3,20.4,27.3
MPV,--,1646,1646,100.0,1646,100.0,295,17.92,0.0036,0.4591,0.6861,6.3,95.6,4.4,0.0418,0.0392,0.4028,8.7044,0.5751,3.5,4.6,6.6
Sodium,--,4105,4105,100.0,2991,72.9,1194,29.09,0.0244,0.4069,0.6312,3.2,61.0,39.0,0.238,0.2304,2.2543,139.27771,3.0237,1.4,1.6,2.2
Potassium,--,4099,4099,100.0,3799,92.7,1112,27.13,0.0163,0.0885,0.6799,9.3,75.7,24.3,0.1841,0.1669,0.3341,4.1625,0.4379,6.7,8.0,10.5
Chloride,--,4055,4055,100.0,4019,99.1,1322,32.6,0.0224,0.2467,0.6579,3.5,83.1,16.9,0.1402,0.1353,2.4311,103.60789,3.2962,1.9,2.4,3.2
Calcium,--,3989,3989,100.0,3961,99.3,1214,30.43,0.0195,1.0,0.6402,3.6,81.2,18.8,0.1524,0.1468,0.3588,8.70569,0.4752,3.4,4.1,5.5
Magnesium,--,4061,4061,100.0,3850,94.8,1095,26.96,0.0115,0.1667,0.6518,7.2,73.5,26.5,0.1949,0.1809,0.1467,1.99958,0.2198,5.4,7.3,11.0
Phosphorus,--,4088,4088,100.0,4083,99.9,1010,24.71,0.0129,0.9793,0.6827,6.0,84.6,15.4,0.1305,0.1227,0.5632,3.49555,0.7782,12.7,16.4,22.3
Osmolality,--,3513,3513,100.0,2978,84.8,1339,38.12,0.0113,0.3799,0.6095,3.2,62.1,37.9,0.2354,0.2279,5.2252,295.68346,6.9457,1.4,1.8,2.3
Creatinine,--,4066,4066,100.0,2590,63.7,1083,26.64,0.0714,0.8,0.6381,1.7,63.7,36.3,0.2312,0.2272,0.1534,1.18884,0.2301,10.5,13.9,19.4
Urea,--,4033,4033,100.0,0,0.0,0,0.0,0.031,0.4286,0.5382,-0.0,25.3,74.7,0.1888,0.1889,10.2492,58.95537,14.7187,14.3,19.4,25.0
Uric_acid,--,3901,3901,100.0,3567,91.4,1134,29.07,0.0183,0.0867,0.6902,6.9,79.6,20.4,0.1624,0.1512,0.7215,5.93796,1.0433,9.3,13.3,17.6
Albumin,--,3921,3921,100.0,3912,99.8,1400,35.71,0.0191,0.3826,0.7089,8.0,83.7,16.3,0.1368,0.1259,0.2223,3.18171,0.2955,5.7,7.1,9.3
Protein_total,--,4066,4066,100.0,3056,75.2,1428,35.12,0.0202,0.0901,0.6578,7.5,60.8,39.2,0.2383,0.2204,0.3873,5.93146,0.5043,5.1,6.6,8.5
Globulin,--,4059,4059,100.0,4017,99.0,1750,43.11,0.01,0.0899,0.6077,3.0,66.4,33.6,0.223,0.2162,0.2488,2.76713,0.3301,7.4,9.2,11.9
AST,--,4076,4076,100.0,3337,81.9,851,20.88,0.0286,0.1672,0.8509,35.6,70.4,29.6,0.2083,0.1341,20.9399,54.15604,112.859,19.4,26.0,208.4
ALT,--,3994,3994,100.0,3588,89.8,712,17.83,0.013,0.1016,0.8866,39.0,83.1,16.9,0.1404,0.0856,15.5183,46.88633,96.4696,16.7,23.5,205.8
GGT,--,2069,2069,100.0,1141,55.1,332,16.05,0.0349,0.0831,0.8657,38.9,58.4,41.6,0.243,0.1485,32.8598,158.79507,82.0452,14.6,21.5,51.7
Alkaline_Phosphatase,--,4129,4129,100.0,3266,79.1,1017,24.63,0.0239,0.9304,0.7977,23.8,70.0,30.0,0.2098,0.1599,19.1029,127.89198,40.567,9.7,13.4,31.7
Bilirubin_total,--,3982,3982,100.0,3599,90.4,789,19.81,0.0249,0.6465,0.7982,23.8,82.0,18.0,0.1476,0.1125,0.2263,0.94741,0.5532,18.7,24.3,58.4
Bilirubin_direct,--,680,680,100.0,451,66.3,179,26.32,0.0536,0.4286,0.7831,22.7,52.9,47.1,0.2491,0.1925,0.3618,1.15907,0.7531,26.8,37.3,65.0
