Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
WBC,--,0.5,1315,647,83.4,85.1,0.1365,0.25,0.6291,-0.0,0.2497,35.4
WBC,--,0.625,1077,454,68.3,65.6,0.1109,0.25,0.5988,-1.6,0.2502,35.4
WBC,--,0.75,29,5,1.8,0.9,0.0722,0.2589,0.6351,2.8,0.222,35.4
WBC,--,0.875,0,0,0.0,0.0,0.0716,0.2589,0.6338,2.7,0.2225,35.4
WBC,--,0.99,0,0,0.0,0.0,0.0716,0.2589,0.6338,2.7,0.2225,35.4
Neutro_abs,--,0.5,1468,581,88.8,80.5,0.1136,0.2931,0.7479,10.9,0.2192,31.6
Neutro_abs,--,0.625,1333,474,80.6,68.5,0.1183,0.2291,0.7223,7.0,0.2264,31.6
Neutro_abs,--,0.75,955,250,57.8,41.9,0.064,0.1616,0.69,11.3,0.2046,31.6
Neutro_abs,--,0.875,222,22,13.4,4.1,0.0411,0.1591,0.7615,20.4,0.1738,31.6
Neutro_abs,--,0.99,0,0,0.0,0.0,0.0396,0.1591,0.7726,21.6,0.1697,31.6
Lympho_abs,--,0.5,1603,252,97.5,95.1,0.0544,0.3104,0.6835,3.6,0.1303,9.6
Lympho_abs,--,0.625,1587,239,96.5,93.0,0.0539,0.3184,0.6717,1.8,0.1295,9.6
Lympho_abs,--,0.75,1560,214,94.9,88.4,0.0514,0.287,0.6501,0.6,0.1248,9.6
Lympho_abs,--,0.875,1361,159,82.8,67.7,0.0495,0.2583,0.6528,0.9,0.1215,9.6
Lympho_abs,--,0.99,67,1,4.1,0.6,0.0264,0.2402,0.7491,5.1,0.0833,9.6
Mono_abs,--,0.5,1543,510,94.7,91.6,0.1167,0.6071,0.6275,-2.5,0.2305,24.0
Mono_abs,--,0.625,1490,471,91.5,86.4,0.1163,0.6071,0.6237,-2.4,0.228,24.0
Mono_abs,--,0.75,1292,363,79.3,72.9,0.1076,0.6071,0.5941,-2.5,0.2176,24.0
Mono_abs,--,0.875,109,16,6.7,4.2,0.044,0.6071,0.6545,5.5,0.1702,24.0
Mono_abs,--,0.99,0,0,0.0,0.0,0.0437,0.6071,0.6606,6.0,0.1711,24.0
Eos_abs,--,0.5,1598,357,99.3,97.3,0.0971,0.3514,0.6465,0.9,0.1744,12.4
Eos_abs,--,0.625,1553,319,96.5,90.4,0.0935,0.3514,0.6405,1.2,0.1691,12.4
Eos_abs,--,0.75,1516,301,94.2,87.5,0.0851,0.3514,0.648,2.2,0.1643,12.4
Eos_abs,--,0.875,1169,173,72.6,64.1,0.0469,0.3514,0.6205,7.0,0.1299,12.4
Eos_abs,--,0.99,0,0,0.0,0.0,0.0279,0.3003,0.7488,18.3,0.0885,12.4
Baso_abs,--,0.5,1567,217,99.3,95.6,0.0648,0.2642,0.6127,4.0,0.1182,10.6
Baso_abs,--,0.625,1550,197,98.2,91.2,0.0634,0.239,0.5863,1.2,0.1167,10.6
Baso_abs,--,0.75,1550,197,98.2,91.2,0.0634,0.239,0.5863,1.2,0.1167,10.6
Baso_abs,--,0.875,1433,169,90.8,84.1,0.0576,0.239,0.58,1.4,0.1095,10.6
Baso_abs,--,0.99,19,0,1.2,0.0,0.0396,0.239,0.6178,4.4,0.0895,10.6
NRBC_abs,--,0.5,1521,202,97.3,91.0,0.0663,0.5833,0.6462,0.5,0.1211,14.3
NRBC_abs,--,0.625,1520,200,97.2,90.5,0.067,0.5833,0.6476,0.5,0.1207,14.3
NRBC_abs,--,0.75,1364,151,87.2,76.3,0.0627,0.5833,0.6425,0.7,0.1098,14.3
NRBC_abs,--,0.875,834,61,53.3,30.7,0.0402,0.303,0.6725,5.4,0.1051,14.3
NRBC_abs,--,0.99,0,0,0.0,0.0,0.0502,0.303,0.6775,6.3,0.1103,14.3
HGB,M,0.5,912,426,100.0,100.0,0.1743,0.2757,0.6581,-7.1,0.2666,25.1
HGB,M,0.625,880,345,96.5,95.3,0.1098,0.184,0.6302,-1.6,0.2432,25.1
HGB,M,0.75,613,179,67.2,60.5,0.0585,0.2045,0.5685,0.2,0.2187,25.1
HGB,M,0.875,0,0,0.0,0.0,0.0194,0.1915,0.6052,3.2,0.182,25.1
HGB,M,0.99,0,0,0.0,0.0,0.0194,0.1915,0.6052,3.2,0.182,25.1
HGB,F,0.5,688,357,99.0,98.1,0.1817,0.4512,0.6447,-8.3,0.2701,35.0
HGB,F,0.625,624,271,89.8,86.0,0.1311,0.4512,0.5687,-5.6,0.2617,35.0
HGB,F,0.75,33,7,4.7,2.8,0.0248,0.4205,0.5932,3.1,0.2228,35.0
HGB,F,0.875,0,0,0.0,0.0,0.02,0.4205,0.6026,3.6,0.2191,35.0
HGB,F,0.99,0,0,0.0,0.0,0.02,0.4205,0.6026,3.6,0.2191,35.0
HCT,M,0.5,921,424,100.0,100.0,0.194,0.2234,0.601,-12.7,0.28,23.8
HCT,M,0.625,851,366,92.4,93.6,0.1705,0.1896,0.5653,-11.3,0.2718,23.8
HCT,M,0.75,445,138,48.3,48.9,0.0799,0.5357,0.4956,-4.0,0.221,23.8
HCT,M,0.875,0,0,0.0,0.0,0.0217,0.0839,0.5825,1.7,0.1782,23.8
HCT,M,0.99,0,0,0.0,0.0,0.0217,0.0839,0.5825,1.7,0.1782,23.8
HCT,F,0.5,694,379,99.6,99.2,0.1752,0.3704,0.6702,-4.5,0.2589,37.7
HCT,F,0.625,358,132,51.4,44.3,0.0764,0.2593,0.5931,1.4,0.2414,37.7
HCT,F,0.75,13,1,1.9,0.4,0.0213,0.1829,0.6258,5.0,0.2242,37.7
HCT,F,0.875,0,0,0.0,0.0,0.0228,0.1829,0.6295,5.0,0.2233,37.7
HCT,F,0.99,0,0,0.0,0.0,0.0228,0.1829,0.6295,5.0,0.2233,37.7
RBC,M,0.5,911,440,100.0,100.0,0.2125,0.4254,0.5945,-15.4,0.2881,24.3
RBC,M,0.625,905,433,99.3,99.1,0.2104,0.2783,0.5933,-15.3,0.2877,24.3
RBC,M,0.75,619,224,67.9,69.6,0.1135,0.1765,0.521,-6.8,0.244,24.3
RBC,M,0.875,0,0,0.0,0.0,0.022,0.1294,0.5834,0.9,0.182,24.3
RBC,M,0.99,0,0,0.0,0.0,0.022,0.1294,0.5834,0.9,0.182,24.3
RBC,F,0.5,675,367,97.8,97.6,0.1963,0.8,0.6776,-9.4,0.2713,34.9
